	BACasv1	BACasv3	BACasv4	BACasv7	BACasv8	BACasv11	BACasv12	BACasv13	BACasv14	BACasv17	BACasv20	BACasv21	BACasv22	BACasv23	BACasv24	BACasv25	BACasv27	BACasv28	BACasv29	BACasv30	BACasv31	BACasv32	BACasv33	BACasv35	BACasv36	BACasv37	BACasv38	BACasv39	BACasv40	BACasv41	BACasv42	BACasv45	BACasv46	BACasv47	BACasv48	BACasv49	BACasv50	BACasv53	BACasv54	BACasv56	BACasv58	BACasv60	BACasv61	BACasv65	BACasv67	BACasv69	BACasv70	BACasv71	BACasv73	BACasv76	BACasv77	BACasv78	BACasv80	BACasv87	BACasv89	BACasv90	BACasv92	BACasv93	BACasv94	BACasv96	BACasv99	BACasv100	BACasv101	BACasv102	BACasv105	BACasv106	BACasv112	BACasv113	BACasv114	BACasv118	BACasv120	BACasv123	BACasv124	BACasv128	BACasv129	BACasv139	BACasv140	BACasv143	BACasv145	BACasv146	BACasv148	BACasv153	BACasv154	BACasv156	BACasv168	BACasv173	BACasv175	BACasv176	BACasv177	BACasv182	BACasv183	BACasv187	BACasv188	BACasv192	BACasv194	BACasv195	BACasv207	BACasv212	BACasv213	BACasv221	BACasv236	BACasv237	BACasv251	BACasv257	BACasv261	BACasv267	BACasv268	BACasv276	BACasv285	BACasv288	BACasv295	BACasv305	BACasv316	BACasv317	BACasv324	BACasv331	BACasv352	BACasv374	BACasv389	BACasv413	BACasv421	BACasv426	BACasv440	BACasv442	BACasv450	BACasv451	BACasv455	BACasv489	BACasv492	BACasv514	BACasv522	BACasv562	BACasv579	BACasv580	BACasv581	BACasv597	BACasv620	BACasv644	BACasv672	BACasv708	BACasv889	BACasv890	BACasv986
BACasv451	0	0.755928946018454	0	0	0	0.755928946018454	0	0.755928946018454	0	0	0	0	0	0.755928946018454	0	0	0	0	0	0	0.755928946018454	0	0	0	0.755928946018454	0.755928946018454	0.755928946018454	0	0	0	0	0	0	0	0.755928946018454	0.755928946018454	0	0	0	0	0	0	0	0.755928946018454	0	0	0	0	0.755928946018454	0	0	0.755928946018454	0.755928946018454	0	0.755928946018454	0	0.755928946018454	0	0	0.755928946018454	0.755928946018454	0.755928946018454	0	0	0.755928946018454	0.755928946018454	0	1	0.755928946018454	0	0.755928946018454	0	0.755928946018454	0	0	0.755928946018454	0.755928946018454	0	1	0	0	0.755928946018454	0	0.755928946018454	0	0	0	0.755928946018454	0	0.755928946018454	0	0.755928946018454	0.755928946018454	0	0.755928946018454	0.755928946018454	0	0.755928946018454	0.755928946018454	0.755928946018454	1	0.755928946018454	0	0	1	0	0.755928946018454	1	0.755928946018454	0	0	0.755928946018454	0	0	0.755928946018454	0	0	0	0	0	0	1	0.755928946018454	0.755928946018454	0	0	0	0	1	0.755928946018454	0.755928946018454	0	1	0	0.755928946018454	0.755928946018454	1	1	0.755928946018454	1	1	0.755928946018454	1
BACasv455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.763762615825973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.763762615825973	0	0	0	0	0	0	0.90625	0	0	0	0	0	0	0	0	0	0	0	0	0.929981109950554	0	0	0.84279538089269	0	0.875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.929981109950554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.763762615825973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv489	0	-0.732588631506546	0	0	-0.763762615825973	-0.732588631506546	-0.763762615825973	-0.732588631506546	0	0	-0.763762615825973	0	-0.763762615825973	-0.732588631506546	0	0	0	-0.763762615825973	-0.928571428571429	-0.763762615825973	-0.732588631506546	0	0.80952380952381	0	-0.732588631506546	-0.732588631506546	-0.732588631506546	-0.791039852105472	0	0	0	0	0	0	-0.732588631506546	-0.732588631506546	0	0	0	0	0	0	-0.763762615825973	-0.732588631506546	0	-0.763762615825973	0	-0.763762615825973	-0.732588631506546	-0.763762615825973	-0.763762615825973	-0.732588631506546	-0.732588631506546	-0.84559432466447	-0.732588631506546	0	-0.732588631506546	-0.763762615825973	0	-0.732588631506546	-0.732588631506546	-0.732588631506546	0	0	-0.732588631506546	-0.732588631506546	0	0	-0.732588631506546	-0.786386748619354	-0.732588631506546	-0.87287156094397	-0.732588631506546	0	-0.763762615825973	-0.732588631506546	-0.732588631506546	0	0	-0.763762615825973	-0.763762615825973	-0.732588631506546	-0.763762615825973	-0.732588631506546	0.761904761904762	-0.763762615825973	0	-0.732588631506546	0	-0.732588631506546	0	-0.732588631506546	0	0	-0.732588631506546	-0.732588631506546	-0.763762615825973	-0.732588631506546	-0.732588631506546	-0.732588631506546	0	0	-0.763762615825973	0	0	-0.763762615825973	-0.732588631506546	0	-0.732588631506546	0	-0.773703091383558	-0.732588631506546	-0.763762615825973	0	-0.732588631506546	0	0	-0.763762615825973	-0.763762615825973	-0.763762615825973	0	0	-0.732588631506546	-0.732588631506546	-0.763762615825973	0	-0.763762615825973	0	0	-0.732588631506546	-0.732588631506546	-0.763762615825973	0	0	-0.732588631506546	-0.732588631506546	0	0	-0.732588631506546	0	0	-0.732588631506546	0
BACasv492	0	0.755928946018454	0	0	0	0.755928946018454	0	0.755928946018454	0	0	0	0	0	0.755928946018454	0	0	0	0	0	0	0.755928946018454	0	0	0	0.755928946018454	0.755928946018454	0.755928946018454	0	0	0	0	0	0	0	0.755928946018454	0.755928946018454	0	0	0	0	0	0	0	0.755928946018454	0	0	0	0	0.755928946018454	0	0	0.755928946018454	0.755928946018454	0	0.755928946018454	0	0.755928946018454	0	0	0.755928946018454	0.755928946018454	0.755928946018454	0	0	0.755928946018454	0.755928946018454	0	1	0.755928946018454	0	0.755928946018454	0	0.755928946018454	0	0	0.755928946018454	0.755928946018454	0	1	0	0	0.755928946018454	0	0.755928946018454	0	0	0	0.755928946018454	0	0.755928946018454	0	0.755928946018454	0.755928946018454	0	0.755928946018454	0.755928946018454	0	0.755928946018454	0.755928946018454	0.755928946018454	1	0.755928946018454	0	0	1	0	0.755928946018454	1	0.755928946018454	0	0	0.755928946018454	0	0	0.755928946018454	0	0	0	0	0	0	1	0.755928946018454	0.755928946018454	0	1	0	0	0	0.755928946018454	0.755928946018454	0	1	0	0.755928946018454	0.755928946018454	1	1	0.755928946018454	1	1	0.755928946018454	1
BACasv514	0.736988602787921	1	0.763762615825973	0.732588631506546	0.959183673469388	1	0.959183673469388	1	0.732588631506546	0.763762615825973	0.959183673469388	0	0.959183673469388	1	0	0.763762615825973	0.736988602787921	0.959183673469388	0.732588631506546	0.959183673469388	1	-0.732588631506546	-0.732588631506546	-0.763762615825973	1	1	1	0.839285714285714	0.768349819927832	-0.732588631506546	0.768349819927832	0.763762615825973	0	0	1	1	0.750679963874929	-0.763762615825973	0.732588631506546	0	0.813733471206735	0.780519860137072	0.959183673469388	1	0.750679963874929	0.959183673469388	-0.732588631506546	0.959183673469388	1	0.959183673469388	0.959183673469388	1	1	0.875	1	0	1	0.959183673469388	0.75	1	1	1	0.768349819927832	0	1	1	0	0.755928946018454	1	0.813733471206735	1	0.839285714285714	1	0	0.959183673469388	1	1	0	0.755928946018454	0.959183673469388	0.959183673469388	1	0.959183673469388	1	-0.732588631506546	0.875	0	1	-0.732588631506546	1	0	1	0	0	1	1	0.959183673469388	1	1	1	0.755928946018454	0	0.959183673469388	0	0.755928946018454	0.959183673469388	1	0.755928946018454	1	0.839285714285714	0	1	0.875	0	1	0	-0.732588631506546	0.959183673469388	0.959183673469388	0.959183673469388	0	0.755928946018454	1	1	0.959183673469388	0.755928946018454	0	-0.732588631506546	0.755928946018454	0	1	0.959183673469388	0.755928946018454	0	1	1	0.755928946018454	0.755928946018454	1	0.755928946018454	0.755928946018454	1	0.755928946018454
BACasv522	0.736988602787921	1	0.763762615825973	0.732588631506546	0.959183673469388	1	0.959183673469388	1	0.732588631506546	0.763762615825973	0.959183673469388	0	0.959183673469388	1	0	0.763762615825973	0.736988602787921	0.959183673469388	0.732588631506546	0.959183673469388	1	-0.732588631506546	-0.732588631506546	-0.763762615825973	1	1	1	0.839285714285714	0.768349819927832	-0.732588631506546	0.768349819927832	0.763762615825973	0	0	1	1	0.750679963874929	-0.763762615825973	0.732588631506546	0	0.813733471206735	0.780519860137072	0.959183673469388	1	0.750679963874929	0.959183673469388	-0.732588631506546	0.959183673469388	1	0.959183673469388	0.959183673469388	1	1	0.875	1	0	1	0.959183673469388	0.75	1	1	1	0.768349819927832	0	1	1	0	0.755928946018454	1	0.813733471206735	1	0.839285714285714	1	0	0.959183673469388	1	1	0	0.755928946018454	0.959183673469388	0.959183673469388	1	0.959183673469388	1	-0.732588631506546	0.875	0	1	-0.732588631506546	1	0	1	0	0	1	1	0.959183673469388	1	1	1	0.755928946018454	0	0.959183673469388	0	0.755928946018454	0.959183673469388	1	0.755928946018454	1	0.839285714285714	0	1	0.875	0	1	0	-0.732588631506546	0.959183673469388	0.959183673469388	0.959183673469388	0	0.755928946018454	1	1	0.959183673469388	0.755928946018454	0	-0.732588631506546	0.755928946018454	1	0	0.959183673469388	0.755928946018454	0	1	1	0.755928946018454	0.755928946018454	1	0.755928946018454	0.755928946018454	1	0.755928946018454
BACasv562	0.768349819927832	0.959183673469388	0.732588631506546	0.763762615825973	1	0.959183673469388	1	0.959183673469388	0.763762615825973	0.732588631506546	1	0	1	0.959183673469388	0	0.732588631506546	0.768349819927832	1	0.763762615825973	1	0.959183673469388	-0.763762615825973	-0.763762615825973	-0.732588631506546	0.959183673469388	0.959183673469388	0.959183673469388	0.875	0.736988602787921	-0.763762615825973	0.736988602787921	0.732588631506546	0	0	0.959183673469388	0.959183673469388	0.782623792124926	-0.732588631506546	0.763762615825973	0	0.780519860137072	0.813733471206735	1	0.959183673469388	0.782623792124926	1	-0.763762615825973	1	0.959183673469388	1	1	0.959183673469388	0.959183673469388	0.839285714285714	0.959183673469388	0	0.959183673469388	1	0	0.959183673469388	0.959183673469388	0.959183673469388	0.736988602787921	0	0.959183673469388	0.959183673469388	0	0	0.959183673469388	0.780519860137072	0.959183673469388	0.875	0.959183673469388	0	1	0.959183673469388	0.959183673469388	0	0	1	1	0.959183673469388	1	0.959183673469388	-0.763762615825973	0.839285714285714	0	0.959183673469388	-0.763762615825973	0.959183673469388	0	0.959183673469388	0	0.75	0.959183673469388	0.959183673469388	1	0.959183673469388	0.959183673469388	0.959183673469388	0	0	1	0	0	1	0.959183673469388	0	0.959183673469388	0.875	0	0.959183673469388	0.839285714285714	0	0.959183673469388	0	-0.763762615825973	1	1	1	0	0	0.959183673469388	0.959183673469388	1	0	0	-0.763762615825973	0	0.959183673469388	0.959183673469388	0	0	0	0.959183673469388	0.959183673469388	0	0	0.959183673469388	0	0	0.959183673469388	0
BACasv579	0	0.755928946018454	0	0	0	0.755928946018454	0	0.755928946018454	0	0	0	0	0	0.755928946018454	0	0	0	0	0	0	0.755928946018454	0	0	0	0.755928946018454	0.755928946018454	0.755928946018454	0	0	0	0	0	0	0	0.755928946018454	0.755928946018454	0	0	0	0	0	0	0	0.755928946018454	0	0	0	0	0.755928946018454	0	0	0.755928946018454	0.755928946018454	0	0.755928946018454	0	0.755928946018454	0	0	0.755928946018454	0.755928946018454	0.755928946018454	0	0	0.755928946018454	0.755928946018454	0	1	0.755928946018454	0	0.755928946018454	0	0.755928946018454	0	0	0.755928946018454	0.755928946018454	0	1	0	0	0.755928946018454	0	0.755928946018454	0	0	0	0.755928946018454	0	0.755928946018454	0	0.755928946018454	0.755928946018454	0	0.755928946018454	0.755928946018454	0	0.755928946018454	0.755928946018454	0.755928946018454	1	0.755928946018454	0	0	1	0	0.755928946018454	1	0.755928946018454	0	0	0.755928946018454	0	0	0.755928946018454	0	0	0	0	0	0	1	0.755928946018454	0.755928946018454	0	1	0	0	1	0.755928946018454	0.755928946018454	0	0	0	0.755928946018454	0.755928946018454	1	1	0.755928946018454	1	1	0.755928946018454	1
BACasv580	0	0	0	0.763762615825973	0	0	0	0	0	0	0	0	0	0	0.875	0.791039852105472	0.768349819927832	0	0	0	0	0	-0.763762615825973	0	0	0	0	0.875	0.795790884925255	-0.763762615825973	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.782623792124926	0	0	0	0	0	0	0	0	0	0	0	0	0	0.96875	0	0	0	0	0.84279538089269	0	0	0	0	0	0	0	0	0	0.813733471206735	0	0	0	0	0	0	0	0	0	0	0	0.90625	0	0	0	0	0	0	0.839285714285714	0	0	0	0	0	0	0	0	0.839285714285714	0	0	0	0	0	0	0	0	0	0	0.90625	0.726547742148871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv581	0.736988602787921	1	0.763762615825973	0.732588631506546	0.959183673469388	1	0.959183673469388	1	0.732588631506546	0.763762615825973	0.959183673469388	0	0.959183673469388	1	0	0.763762615825973	0.736988602787921	0.959183673469388	0.732588631506546	0.959183673469388	1	-0.732588631506546	-0.732588631506546	-0.763762615825973	1	1	1	0.839285714285714	0.768349819927832	-0.732588631506546	0.768349819927832	0.763762615825973	0	0	1	1	0.750679963874929	-0.763762615825973	0.732588631506546	0	0.813733471206735	0.780519860137072	0.959183673469388	1	0.750679963874929	0.959183673469388	-0.732588631506546	0.959183673469388	1	0.959183673469388	0.959183673469388	1	1	0.875	1	0	1	0.959183673469388	0.75	1	1	1	0.768349819927832	0	1	1	0	0.755928946018454	1	0.813733471206735	1	0.839285714285714	1	0	0.959183673469388	1	1	0	0.755928946018454	0.959183673469388	0.959183673469388	1	0.959183673469388	1	-0.732588631506546	0.875	0	1	-0.732588631506546	1	0	1	0	0	1	1	0.959183673469388	1	1	1	0.755928946018454	0	0.959183673469388	0	0.755928946018454	0.959183673469388	1	0.755928946018454	1	0.839285714285714	0	1	0.875	0	1	0	-0.732588631506546	0.959183673469388	0.959183673469388	0.959183673469388	0	0.755928946018454	1	1	0.959183673469388	0.755928946018454	0	-0.732588631506546	0.755928946018454	1	1	0.959183673469388	0.755928946018454	0	0	1	0.755928946018454	0.755928946018454	1	0.755928946018454	0.755928946018454	1	0.755928946018454
BACasv597	0.736988602787921	1	0.763762615825973	0.732588631506546	0.959183673469388	1	0.959183673469388	1	0.732588631506546	0.763762615825973	0.959183673469388	0	0.959183673469388	1	0	0.763762615825973	0.736988602787921	0.959183673469388	0.732588631506546	0.959183673469388	1	-0.732588631506546	-0.732588631506546	-0.763762615825973	1	1	1	0.839285714285714	0.768349819927832	-0.732588631506546	0.768349819927832	0.763762615825973	0	0	1	1	0.750679963874929	-0.763762615825973	0.732588631506546	0	0.813733471206735	0.780519860137072	0.959183673469388	1	0.750679963874929	0.959183673469388	-0.732588631506546	0.959183673469388	1	0.959183673469388	0.959183673469388	1	1	0.875	1	0	1	0.959183673469388	0.75	1	1	1	0.768349819927832	0	1	1	0	0.755928946018454	1	0.813733471206735	1	0.839285714285714	1	0	0.959183673469388	1	1	0	0.755928946018454	0.959183673469388	0.959183673469388	1	0.959183673469388	1	-0.732588631506546	0.875	0	1	-0.732588631506546	1	0	1	0	0	1	1	0.959183673469388	1	1	1	0.755928946018454	0	0.959183673469388	0	0.755928946018454	0.959183673469388	1	0.755928946018454	1	0.839285714285714	0	1	0.875	0	1	0	-0.732588631506546	0.959183673469388	0.959183673469388	0.959183673469388	0	0.755928946018454	1	1	0.959183673469388	0.755928946018454	0	-0.732588631506546	0.755928946018454	1	1	0.959183673469388	0.755928946018454	0	1	0	0.755928946018454	0.755928946018454	1	0.755928946018454	0.755928946018454	1	0.755928946018454
BACasv620	0	0.755928946018454	0	0	0	0.755928946018454	0	0.755928946018454	0	0	0	0	0	0.755928946018454	0	0	0	0	0	0	0.755928946018454	0	0	0	0.755928946018454	0.755928946018454	0.755928946018454	0	0	0	0	0	0	0	0.755928946018454	0.755928946018454	0	0	0	0	0	0	0	0.755928946018454	0	0	0	0	0.755928946018454	0	0	0.755928946018454	0.755928946018454	0	0.755928946018454	0	0.755928946018454	0	0	0.755928946018454	0.755928946018454	0.755928946018454	0	0	0.755928946018454	0.755928946018454	0	1	0.755928946018454	0	0.755928946018454	0	0.755928946018454	0	0	0.755928946018454	0.755928946018454	0	1	0	0	0.755928946018454	0	0.755928946018454	0	0	0	0.755928946018454	0	0.755928946018454	0	0.755928946018454	0.755928946018454	0	0.755928946018454	0.755928946018454	0	0.755928946018454	0.755928946018454	0.755928946018454	1	0.755928946018454	0	0	1	0	0.755928946018454	1	0.755928946018454	0	0	0.755928946018454	0	0	0.755928946018454	0	0	0	0	0	0	1	0.755928946018454	0.755928946018454	0	1	0	0	1	0.755928946018454	0.755928946018454	0	1	0	0.755928946018454	0.755928946018454	0	1	0.755928946018454	1	1	0.755928946018454	1
BACasv644	0	0.755928946018454	0	0	0	0.755928946018454	0	0.755928946018454	0	0	0	0	0	0.755928946018454	0	0	0	0	0	0	0.755928946018454	0	0	0	0.755928946018454	0.755928946018454	0.755928946018454	0	0	0	0	0	0	0	0.755928946018454	0.755928946018454	0	0	0	0	0	0	0	0.755928946018454	0	0	0	0	0.755928946018454	0	0	0.755928946018454	0.755928946018454	0	0.755928946018454	0	0.755928946018454	0	0	0.755928946018454	0.755928946018454	0.755928946018454	0	0	0.755928946018454	0.755928946018454	0	1	0.755928946018454	0	0.755928946018454	0	0.755928946018454	0	0	0.755928946018454	0.755928946018454	0	1	0	0	0.755928946018454	0	0.755928946018454	0	0	0	0.755928946018454	0	0.755928946018454	0	0.755928946018454	0.755928946018454	0	0.755928946018454	0.755928946018454	0	0.755928946018454	0.755928946018454	0.755928946018454	1	0.755928946018454	0	0	1	0	0.755928946018454	1	0.755928946018454	0	0	0.755928946018454	0	0	0.755928946018454	0	0	0	0	0	0	1	0.755928946018454	0.755928946018454	0	1	0	0	1	0.755928946018454	0.755928946018454	0	1	0	0.755928946018454	0.755928946018454	1	0	0.755928946018454	1	1	0.755928946018454	1
BACasv672	0.736988602787921	1	0.763762615825973	0.732588631506546	0.959183673469388	1	0.959183673469388	1	0.732588631506546	0.763762615825973	0.959183673469388	0	0.959183673469388	1	0	0.763762615825973	0.736988602787921	0.959183673469388	0.732588631506546	0.959183673469388	1	-0.732588631506546	-0.732588631506546	-0.763762615825973	1	1	1	0.839285714285714	0.768349819927832	-0.732588631506546	0.768349819927832	0.763762615825973	0	0	1	1	0.750679963874929	-0.763762615825973	0.732588631506546	0	0.813733471206735	0.780519860137072	0.959183673469388	1	0.750679963874929	0.959183673469388	-0.732588631506546	0.959183673469388	1	0.959183673469388	0.959183673469388	1	1	0.875	1	0	1	0.959183673469388	0.75	1	1	1	0.768349819927832	0	1	1	0	0.755928946018454	1	0.813733471206735	1	0.839285714285714	1	0	0.959183673469388	1	1	0	0.755928946018454	0.959183673469388	0.959183673469388	1	0.959183673469388	1	-0.732588631506546	0.875	0	1	-0.732588631506546	1	0	1	0	0	1	1	0.959183673469388	1	1	1	0.755928946018454	0	0.959183673469388	0	0.755928946018454	0.959183673469388	1	0.755928946018454	1	0.839285714285714	0	1	0.875	0	1	0	-0.732588631506546	0.959183673469388	0.959183673469388	0.959183673469388	0	0.755928946018454	1	1	0.959183673469388	0.755928946018454	0	-0.732588631506546	0.755928946018454	1	1	0.959183673469388	0.755928946018454	0	1	1	0.755928946018454	0.755928946018454	0	0.755928946018454	0.755928946018454	1	0.755928946018454
BACasv708	0	0.755928946018454	0	0	0	0.755928946018454	0	0.755928946018454	0	0	0	0	0	0.755928946018454	0	0	0	0	0	0	0.755928946018454	0	0	0	0.755928946018454	0.755928946018454	0.755928946018454	0	0	0	0	0	0	0	0.755928946018454	0.755928946018454	0	0	0	0	0	0	0	0.755928946018454	0	0	0	0	0.755928946018454	0	0	0.755928946018454	0.755928946018454	0	0.755928946018454	0	0.755928946018454	0	0	0.755928946018454	0.755928946018454	0.755928946018454	0	0	0.755928946018454	0.755928946018454	0	1	0.755928946018454	0	0.755928946018454	0	0.755928946018454	0	0	0.755928946018454	0.755928946018454	0	1	0	0	0.755928946018454	0	0.755928946018454	0	0	0	0.755928946018454	0	0.755928946018454	0	0.755928946018454	0.755928946018454	0	0.755928946018454	0.755928946018454	0	0.755928946018454	0.755928946018454	0.755928946018454	1	0.755928946018454	0	0	1	0	0.755928946018454	1	0.755928946018454	0	0	0.755928946018454	0	0	0.755928946018454	0	0	0	0	0	0	1	0.755928946018454	0.755928946018454	0	1	0	0	1	0.755928946018454	0.755928946018454	0	1	0	0.755928946018454	0.755928946018454	1	1	0.755928946018454	0	1	0.755928946018454	1
BACasv889	0	0.755928946018454	0	0	0	0.755928946018454	0	0.755928946018454	0	0	0	0	0	0.755928946018454	0	0	0	0	0	0	0.755928946018454	0	0	0	0.755928946018454	0.755928946018454	0.755928946018454	0	0	0	0	0	0	0	0.755928946018454	0.755928946018454	0	0	0	0	0	0	0	0.755928946018454	0	0	0	0	0.755928946018454	0	0	0.755928946018454	0.755928946018454	0	0.755928946018454	0	0.755928946018454	0	0	0.755928946018454	0.755928946018454	0.755928946018454	0	0	0.755928946018454	0.755928946018454	0	1	0.755928946018454	0	0.755928946018454	0	0.755928946018454	0	0	0.755928946018454	0.755928946018454	0	1	0	0	0.755928946018454	0	0.755928946018454	0	0	0	0.755928946018454	0	0.755928946018454	0	0.755928946018454	0.755928946018454	0	0.755928946018454	0.755928946018454	0	0.755928946018454	0.755928946018454	0.755928946018454	1	0.755928946018454	0	0	1	0	0.755928946018454	1	0.755928946018454	0	0	0.755928946018454	0	0	0.755928946018454	0	0	0	0	0	0	1	0.755928946018454	0.755928946018454	0	1	0	0	1	0.755928946018454	0.755928946018454	0	1	0	0.755928946018454	0.755928946018454	1	1	0.755928946018454	1	0	0.755928946018454	1
BACasv890	0.736988602787921	1	0.763762615825973	0.732588631506546	0.959183673469388	1	0.959183673469388	1	0.732588631506546	0.763762615825973	0.959183673469388	0	0.959183673469388	1	0	0.763762615825973	0.736988602787921	0.959183673469388	0.732588631506546	0.959183673469388	1	-0.732588631506546	-0.732588631506546	-0.763762615825973	1	1	1	0.839285714285714	0.768349819927832	-0.732588631506546	0.768349819927832	0.763762615825973	0	0	1	1	0.750679963874929	-0.763762615825973	0.732588631506546	0	0.813733471206735	0.780519860137072	0.959183673469388	1	0.750679963874929	0.959183673469388	-0.732588631506546	0.959183673469388	1	0.959183673469388	0.959183673469388	1	1	0.875	1	0	1	0.959183673469388	0.75	1	1	1	0.768349819927832	0	1	1	0	0.755928946018454	1	0.813733471206735	1	0.839285714285714	1	0	0.959183673469388	1	1	0	0.755928946018454	0.959183673469388	0.959183673469388	1	0.959183673469388	1	-0.732588631506546	0.875	0	1	-0.732588631506546	1	0	1	0	0	1	1	0.959183673469388	1	1	1	0.755928946018454	0	0.959183673469388	0	0.755928946018454	0.959183673469388	1	0.755928946018454	1	0.839285714285714	0	1	0.875	0	1	0	-0.732588631506546	0.959183673469388	0.959183673469388	0.959183673469388	0	0.755928946018454	1	1	0.959183673469388	0.755928946018454	0	-0.732588631506546	0.755928946018454	1	1	0.959183673469388	0.755928946018454	0	1	1	0.755928946018454	0.755928946018454	1	0.755928946018454	0.755928946018454	0	0.755928946018454
